DateLastVerified,ID,UUID,OperatorID,NumberOfPoints,StatusTypeID,DateLastStatusUpdate,DateCreated,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.Town,AddressInfo.Postcode,AddressInfo.Latitude,AddressInfo.Longitude
2023-10-09,278546,2C8BA0B2-215D-4562-958E-16EADBA8246A,103.0,2.0,50,2023-10-09,2023-10-01,278933,Emmerhoutstraat,Emmerhoutstraat 1,Emmen,7814 XV,52.816950648536505,6.918983149911014
2023-09-06,274104,E2271DB6-74AC-497D-970E-C08AD6436D3C,3387.0,1.0,50,2023-09-06,2023-09-01,274488,Boerderijwinkel Lagerweij,Rijksstraatweg 61c,Buurmalsen,4197 RL,51.91593988845722,5.276771337816967
2023-09-06,273936,478EBD74-9B6B-4901-A53E-DE2FB4151842,103.0,4.0,50,2023-09-06,2023-08-25,274320,Van der Valk Larserplein Lelystad,Larserplein 1,Lelystad, 8226 PB,52.48266239886473,5.504657788635541
2023-09-06,273927,E0081CC8-8023-4E25-AE12-A52E2D488AC0,3632.0,4.0,50,2023-09-06,2023-08-25,274311,KFC Larserplein Lelystad,Larserplein 20,Lelystad,8226 PB,52.48275573026649,5.505836542592618
2023-04-26,260616,C26B4CFA-2E37-428E-A744-59F4B824E1E4,3504.0,4.0,50,2023-04-26,2023-04-26,261000,LEAP24 Fastcharging station,Kleveringweg 9A,Delft,2616 LZ,52.02587329680358,4.363657738411348
2023-04-26,260615,A5C3ECBB-5580-426B-B7EA-F937E29DC407,3504.0,6.0,50,2023-04-26,2023-04-26,260999,LEAP24 Fast Charging Station,Graham Bellstraat 43,Zwolle,8013 PL,52.48467601267876,6.131613538762423
2023-04-26,260614,97CC7F48-4C1E-4B2C-8F64-674E28AC0FC9,3504.0,6.0,50,2023-04-26,2023-04-26,260998,Eeser Veld,Eeser Veld,Steenwijk,8347 JD,52.804779000051155,6.133885326612699
2023-04-22,260350,C0980657-1FE9-41D6-BE51-1C3108A1CFE8,1.0,1.0,50,2023-04-22,2023-04-21,260734,Berliozstraat,Berliozstraat,Capelle aan den IJssel,2901 GA,51.91689902158163,4.56201683552149
2023-04-22,260348,D2769DA9-7D64-4719-8460-BDDC6272D6CB,1.0,1.0,50,2023-04-22,2023-04-21,260732,Puccinistraat,Puccinistraat,Capelle aan den IJssel,2901 GL,51.91759733356153,4.56515469493084
2023-04-21,260327,432BB27C-C647-46E1-8AB5-5800CA889A84,3387.0,2.0,50,2023-04-21,2023-04-20,260711,Castellum,Rossinistraat 112,Capelle aan den Ijssel,2901GJ,51.9168755697022,4.565175905029946
